thinkofPlayingGameDayLong,spendFreeTimeonGame,feelingofGameAddiction,playingLongerThenIntended,spendLargeTimeonGame,unableToStopPlaying,gamingToForgetRealLife,gamingToReleaseStress,gamingToFeelBetter,unableToReduceGaming,unsuccessfulInfluenceofOthers,angryIssue,stressIssue,unsocialIssue,fightIssue,breakofRelationship,tendToDeceive,sleepIssue,tendToloseHobbies,tendToNeglectImportantActivities,neckandBackPain,orthopedicIssues,eyesightIssue,hearingIssue,tendToCocurricularActivities,tendToPresentClass,tendToPeerInterraction
Rarely,Rarely,Rarely,Never,Sometimes,Rarely,Sometimes,Often,Never,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Often,Rarely,Often,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Often,Rarely,Sometimes,Sometimes,Often
Sometimes,Rarely,Somtimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely
Often,Often,Somtimes,Very Often,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Very Often,Sometimes,Often,Sometimes,Sometimes,Rarely,Sometimes,Very Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Rarely,Sometimes,Sometimes
Rarely,Sometimes,Somtimes,Never,Sometimes,Sometimes,Never,Very Often,Often,Rarely,Never,Sometimes,Never,Sometimes,Never,Rarely,Sometimes,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Often,Rarely,Sometimes,Rarely
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
Sometimes,Often,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Often,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Never,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Never,Rarely,Often,Sometimes
Sometimes,Sometimes,Never,Never,Never,Never,Never,Rarely,Rarely,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Often,Often,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Rarely
Sometimes,Sometimes,Often,Often,Sometimes,Rarely,Sometimes,Often,Very Often,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Never,Sometimes,Never,Rarely,Sometimes,Rarely,Never,Never,Never,Sometimes,Never,Very Often
Often,Sometimes,Somtimes,Often,Often,Often,Often,Sometimes,Often,Sometimes,Very Often,Very Often,Very Often,Very Often,Never,Often,Often,Often,Very Often,Often,Very Often,Often,Very Often,Often,Rarely,Often,Often
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Often,Very Often,Very Often,Very Often,Often,Very Often,Very Often,Very Often,Sometimes,Sometimes,Sometimes,Sometimes
Often,Very Often,Somtimes,Often,Often,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Often,Very Often,Often,Often,Often,Often,Sometimes,Sometimes,Often,Often,Sometimes,Often,Often
Very Often,Very Often,Very Often,Very Often,Very Often,Often,Often,Very Often,Often,Very Often,Very Often,Very Often,Very Often,Often,Often,Often,Very Often,Very Often,Very Often,Often,Often,Often,Often,Very Often,Sometimes,Often,Rarely
Very Often,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Often,Sometimes,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Often,Often,Often,Often,Often,Sometimes,Often,Sometimes,Rarely,Often,Sometimes
Very Often,Often,Often,Very Often,Very Often,Very Often,Often,Often,Often,Very Often,Very Often,Sometimes,Sometimes,Often,Often,Often,Often,Often,Often,Often,Often,Very Often,Very Often,Often,Sometimes,Sometimes,Rarely
Sometimes,Sometimes,Somtimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Often,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometime,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely
Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes
Sometimes,Often,Somtimes,Sometimes,Often,Often,Sometimes,Very Often,Often,Sometimes,Very Often,Often,Sometimes,Sometimes,Rarely,Never,Sometimes,Very Often,Often,Often,Sometimes,Rarely,Often,Often,Rarely,Sometimes,Rarely
